kanji,hiragana,english,kanji_required
新聞,しんぶん,newspaper,
今,いま,now,x
作る,つくる,to make,
欲しい,ほしい,want,
町,まち,"town,city",
飛ぶ,とぶ,"to fly,to hop",
塩,しお,salt,x
風邪,かぜ,a cold,x
登る,のぼる,to climb,
,コート,"coat,tennis court",
七,しち / なな,seven,x
赤ん坊,あかんぼう,baby,x
折れる,おれる,to break or be folded,
お嬢さん,おじょうさん,young lady,x
講義,こうぎ,lecture,
必要,ひつよう,necessary,
約束,やくそく,promise,
お祭り,おまつり,festival,
知らせる,しらせる,to notify,
,どこ,where,
郵便局,ゆうびんきょく,post office,
彼,かれ,"he,boyfriend",
飴,あめ,candy,
見る 観る,みる,"to see, to watch",x
,なさる,(respectful) to do,
