kanji,hiragana,english
,けれど/けれども,however
行う,おこなう,to do
誰,だれか,somebody
子,こ,child
無くす,なくす,to lose something
拾う,ひろう,"to pick up,to gather"
建てる,たてる,to build
行く,ゆく,to go
急ぐ,いそぐ,to hurry
,あの,um...
,もし,if
交番,こうばん,police box
小さい,ちいさい,little
伯父/叔父,おじいさん,"grandfather,male senior citizen"
十,じゅう とお,ten
お祭り,おまつり,festival
飾る,かざる,to decorate
生徒,せいと,pupil
,おいでになる,(respectful) to be
,つもり,intention
世界,せかい,the world
,とうとう,"finally, after all"
弱い,よわい,weak
,パン,bread
試合,しあい,"match,game"
毎日,まいにち,every day
二日,ふつか,"two days, second day of the month"
門,もん,gate
,ピアノ,piano
撮る,とる,to take a photo or record a film
少ない,すくない,a few
