kanji,hiragana,english,kanji_required
凄い,すごい,terrific,
増える,ふえる,to increase,
残る,のこる,to remain,
並べる,ならべる,"to line up,to set up",x
,チェック・する,to check,
反対,はんたい,opposition,
文化,ぶんか,culture,
上着,うわぎ,jacket,
授業,じゅぎょう,"lesson,class work",
間違える,まちがえる,to make a mistake,
落る,おちる,to fall or drop,
,ガソリンスタンド,petrol station,
具合,ぐあい,"condition,health",
夏,なつ,summer,x
美しい,うつくしい,beautiful,
漫画,まんが,comic,
色,いろ,colour,x
変,へん,strange,
君,きみ,(informal) You,
飛行場,ひこうじょう,airport,
,スリッパ,slippers,
道,みち,street,
遠く,とおく,distant,
,たいへん,very,
猫,ねこ,cat,x
