kanji,hiragana,english,kanji_required
靴下,くつした,socks,
首,くび,neck,
箱,はこ,box,
外国人,がいこくじん,foreigner,x
工場,こうじょう/こうば,"factory,plant,mill,workshop",
見える,みえる,to be in sight,
先週,せんしゅう,last week,x
さ来週,さらいしゅう,the week after next,
間,あいだ,a space,x
毎週,まいしゅう,every week,x
毎月,まいげつ/まいつき,every month,x
黄色い,きいろい,yellow,x
秋,あき,autumn,x
,ステレオ,stereo,
産業,さんぎょう,industry,
,おいでになる,(respectful) to be,
薬,くすり,medicine,x
,たくさん,many,
売り場,うりば,place where things are sold,x
坂,さか,"slope,hill",
品物,しなもの,goods,
小さい,ちいさい,little,
七日,なのか,"seven days,the seventh day",x
黄色,きいろ,yellow,x
背,せ,"height,stature",
