kanji,hiragana,english
葉書,はがき,postcard
人,ひと,person
,ベッド,bed
,どの,which
先輩,せんぱい,senior
習慣,しゅうかん,"custom,manners"
犬,いぬ,dog
講義,こうぎ,lecture
方,かた,"person, way of doing"
湯,ゆ,hot water
,はく,"to wear,to put on trousers"
,レジ,register
髪,かみ,hair
掛ける,かける,to hang something
私,わたし,"I,myself"
食べ物,たべもの,food
,コンピューター,computer
好き,すき,likeable
漬ける,つける,"to soak,to pickle"
謝る,あやまる,to apologize
止める,とめる,to stop something
甘い,あまい,sweet
取る,とる,to take something
育てる,そだてる,"to rear,to bring up"
音,おと,"sound, note"
,ちょうど,exactly
伯母さん/叔母さん,おばさん,aunt
痩せる,やせる,to become thin
半,はん,half
坂,さか,"slope,hill"
買う,かう,to buy
