kanji,hiragana,english,kanji_required
写真,しゃしん,photograph,x
送る,おくる,to send,x
多い,おおい,many,x
御飯,ごはん,"cooked rice,meal",
,ボタン,button,
耳,みみ,ear,x
疲れる,つかれる,to get tired,
近く,ちかく,near,x
,やる,to do,
立つ,たつ,to stand,x
皆,みな,everybody,
夕飯,ゆうはん,dinner,x
本,ほん,book,x
,スポーツ,sport,
致す,いたす,(humble) to do,
引き出し,ひきだし,"drawer,drawing out",
参る,まいる,"(humble) to go,to come",
とり肉,とりにく,chicken meat,x
聞く,きく,"to hear,to listen to,to ask",
無くす,なくす,to lose something,
口,くち,"mouth,opening",x
公園,こうえん,park,
市民,しみん,citizen,
,カップ,cup,
問題,もんだい,problem,x
