kanji,hiragana,english,kanji_required
九日,ここのか,"nine days, ninth day",x
事故,じこ,accident,
誰,だれ,who,
,ポケット,pocket,
,メートル,metre,
今年,ことし,this year,x
後ろ,うしろ,behind,x
着く,つく,to arrive at,x
午前,ごぜん,morning,x
,テープレコーダー,tape recorder,
冷蔵庫,れいぞうこ,refrigerator,
,タイプ,"type,style",
汚れる,よごれる,to get dirty,
九つ,ここのつ,nine,x
騒ぐ,さわぐ,"to make noise,to be excited",
借りる,かりる,to borrow,
人,ひと,person,x
君,くん,suffix for familiar young male,
太る,ふとる,to become fat,
続ける,つづける,to continue,
取る,とる,to take something,
毎年,まいねん/まいとし,every year,x
太い,ふとい,fat,x
歩く,あるく,to walk,x
石,いし,stone,x
