kanji,hiragana,english
比べる,くらべる,to compare
毎朝,まいあさ,every morning
,ぶどう,grapes
朝御飯,あさごはん,breakfast
指,ゆび,finger
,カレー,curry
新しい,あたらしい,new
お礼,おれい,expression of gratitude
会話,かいわ,conversation
,など,et cetera
,しっかり,"firmly,steadily"
,それに,moreover
砂,すな,sand
明日,あす・あした,tomorrow
,そんなに,"so much,like that"
冷える,ひえる,to grow cold
,ファックス,fax
会社,かいしゃ,company
毎晩,まいばん,every night
以下,いか,less than
会う,あう,to meet
,ソフト,soft
月曜日,げつようび,Monday
,ペット,pet
,チェック・する,to check
畳,たたみ,Japanese straw mat
包む,つつむ,to wrap
先,さき,"the future,previous"
,メートル,metre
昼,ひる,"noon, daytime"
聞こえる,きこえる,to be heard
