kanji,hiragana,english
言う,いう,to say
旅館,りょかん,Japanese hotel
倒れる,たおれる,to break down
入院,にゅういん・する,"to hospitalise, hospitalisation"
必要,ひつよう,necessary
練習,れんしゅうする,to practice
,とこや,barber
近い,ちかい,near
階段,かいだん,stairs
出かける,でかける,to go out
並ぶ,ならぶ,"to line up,to stand in a line"
教会,きょうかい,church
私,わたくし,"(humble) I,myself"
祖父,そふ,grandfather
特急,とっきゅう,limited express train (faster than an express train)
六,ろく,six
捨てる,すてる,to throw away
,ジャム,jam
,フォーク,fork
,まだ,"yet,still"
,エレベーター,elevator
動物,どうぶつ,animal
,ズボン,trousers
戻る,もどる,to turn back
,プール,swimming pool
昼御飯,ひるごはん,midday meal
考える,かんがえる,to consider
店員,てんいん,shop assistant
,ええ,yes
申し上げる,もうしあげる,"(humble) to say,to tell"
,いくつ,"how many?,how old?"
