kanji,hiragana,english,kanji_required
知る,しる,to know,x
飾る,かざる,to decorate,
誰,だれか,somebody,
開ける,あける,to open,x
勉強,べんきょうする,to study,x
奥さん,おくさん,(honorable) wife,x
,フォーク,fork,
男性,だんせい,male,
退院,たいいん・する,to leave hospital,
引っ越す,ひっこす,to move house,
,トイレ,toilet,
体,からだ,body,x
六つ,むっつ,six,x
負ける,まける,to lose,
,ちょうど,exactly,
,マッチ,match,
歯医者,はいしゃ,dentist,
選ぶ,えらぶ,to choose,
作文,さくぶん,"composition,writing",
親切,しんせつ,kindness,
お弁当,おべんとう,boxed lunch,x
包む,つつむ,to wrap,
十,じゅう とお,ten,x
,おなか,stomach,
消しゴム,けしゴム,"eraser, rubber",
