kanji,hiragana,english
理由,りゆう,reason
冷たい,つめたい,cold to the touch
辞書,じしょ,dictionary
差し上げる,さしあげる,(polite) to give
借りる,かりる,to borrow
話,はなし,"talk,story"
形,かたち,shape
先週,せんしゅう,last week
重い,おもい,heavy
地図,ちず,map
走る,はしる,to run
揺れる,ゆれる,"to shake,to sway"
声,こえ,voice
砂糖,さとう,sugar
,やっと,at last
適当,てきとう,suitability
泳ぐ,およぐ,to swim
磨く,みがく,"to brush teeth, to polish"
,おもしろい,interesting
出す,だす,to put out
着く,つく,to arrive at
山,やま,mountain
暖かい,あたたかい,warm
戦争,せんそう,war
空気,くうき,"air,atmosphere"
,あれ,that
通う,かよう,to commute
,この,this
,これから,after this
,あかちゃん,baby
去年,きょねん,last year
人形,にんぎょう,"doll, figure"
