kanji,hiragana,english
星,ほし,star
森,もり,forest
昼間,ひるま,"daytime,during the day"
料理,りょうり,cuisine
投げる,なげる,to throw or cast away
お兄さん,おにいさん,(honorable) older brother
左,ひだり,left hand side
一緒,いっしょ,together
無理,むり,impossible
とり肉,とりにく,chicken meat
水,みず,water
宿題,しゅくだい,homework
過ぎる,すぎる,to exceed
消しゴム,けしゴム,"eraser, rubber"
,ひげ,beard
行く,いく,to go
下りる,おりる,"to get off, to descend"
,うち,within
壁,かべ,wall
川/河,かわ,river
小学校,しょうがっこう,elementary school
,せっけん,soap
故障,こしょう・する,to break-down
誕生日,たんじょうび,birthday
運転手,うんてんしゅ,driver
贈り物,おくりもの,gift
一度,いちど,once
億,おく,one hundred million
背,せ,"height,stature"
冷蔵庫,れいぞうこ,refrigerator
調べる,しらべる,to investigate
