kanji,hiragana,english,kanji_required
漢字,かんじ,Chinese character,x
差す,さす,"to stretch out hands,to raise an umbrella",
来週,らいしゅう,next week,x
,どの,which,
閉める,しめる,to close something,x
運ぶ,はこぶ,to transport,
中,なか,middle,x
料理,りょうり,cuisine,x
火曜日,かようび,Tuesday,x
切手,きって,postage stamp,
合う,あう,to match,x
世界,せかい,the world,
店,みせ,shop,
頭,あたま,head,x
置く,おく,to put,
辛い,からい,spicy,
砂糖,さとう,sugar,
,おっしゃる,(respectful) to say,
番組,ばんぐみ,television or radio program,
仕方,しかた,method,
,ピアノ,piano,
十日,とおか,"ten days,the tenth day",x
下宿,げしゅく,lodging,
私,わたくし,"(humble) I,myself",x
事務所,じむしょ,office,
