kanji,hiragana,english,kanji_required
,タクシー,taxi,
会う,あう,to meet,x
焼く,やく,"to bake,to grill",
皆さん,みなさん,everyone,
毎日,まいにち,every day,x
葉書,はがき,postcard,
,テレビ,television,
高い,たかい,"tall, expensive",x
鳴く,なく,"animal noise. to chirp, roar or croak etc.",
持つ,もつ,to hold,x
屋上,おくじょう,rooftop,x
お茶,おちゃ,green tea,
足,あし,"foot,leg",x
毛,け,hair or fur,
,グラム,gram,
,アフリカ,Africa,
今度,こんど,"now,next time",
少ない,すくない,a few,x
祖父,そふ,grandfather,
大体,だいたい,generally,
最後,さいご,"last,end",
校長,こうちょう,headmaster,
百,ひゃく,hundred,x
,ねだん,price,
楽しみ,たのしみ,joy,
