kanji,hiragana,english,kanji_required
機会,きかい,opportunity,
大事,だいじ,"important,valuable,serious matter",
一昨日,おととい,day before yesterday,x
次,つぎ,next,
庭,にわ,garden,
お祝い,おいわい,congratulation,
,はい,yes,
技術,ぎじゅつ,"art,technology,skill",
水道,すいどう,water supply,
曲る,まがる,"to turn,to bend",
忘れる,わすれる,to forget,x
最近,さいきん,"latest,nowadays",
,それ,that,
貿易,ぼうえき,trade,
大きな,おおきな,big,x
特急,とっきゅう,limited express train (faster than an express train),
,あ,Ah,
電気,でんき,"electricity,electric light",x
集める,あつめる,to collect something,x
隅,すみ,"corner,nook",
遊ぶ,あそぶ,"to play,to make a visit",
港,みなと,harbour,
悲しい,かなしい,sad,
,ストーブ,heater,
以上,いじょう,"more than, this is all",x
