kanji,hiragana,english,kanji_required
大丈夫,だいじょうぶ,all right,x
星,ほし,star,
男,おとこ,man,x
黒い,くろい,black,x
辞典,じてん,dictionary,
,どなた,who,
先,さき,"the future,previous",x
,サンドイッチ,sandwich,
入る,はいる,"to enter,to contain",x
渡す,わたす,to hand over,
文法,ぶんぽう,grammar,
曇る,くもる,"to become cloudy,to become dim",
,あそこ,over there,
,スプーン,spoon,
好き,すき,like,x
彼女,かのじょ,"she,girlfriend",
始まる,はじまる,to begin,x
,りっぱ,splendid,
注射,ちゅうしゃ,injection,
冷房,れいぼう,air conditioning,
北,きた,north,x
辞書,じしょ,dictionary,x
,ほめる,to praise,
前,まえ,before,x
続く,つづく,to be continued,
