kanji,hiragana,english,kanji_required
中学校,ちゅうがっこう,"junior high school,middle school",
消す,けす,"to erase,to turn off power",
歌,うた,song,
卵,たまご,egg,
止める,やめる,to stop,
,そこ,that place,
お兄さん,おにいさん,(honorable) older brother,x
妹,いもうと,(humble) younger sister,x
絹,きぬ,silk,
電車,でんしゃ,electric train,x
切符,きっぷ,ticket,
堅/硬/固い,かたい,hard,
嫌い,きらい,hate,
投げる,なげる,to throw or cast away,
撮る,とる,to take a photo or record a film,x
,だから,"so,therefore",
適当,てきとう,suitability,
,やっと,at last,
復習,ふくしゅう,revision,
,しょうゆ,soy sauce,
若い,わかい,young,
釣る,つる,to fish,
点,てん,"point,dot",
火事,かじ,fire,
留守,るす,absence,
