kanji,hiragana,english
,トイレ,toilet
大丈夫,だいじょうぶ,all right
植える,うえる,"to plant, to grow"
,セーター,"sweater,jumper"
,ガス,gas
読む,よむ,to read
席,せき,seat
散歩,さんぽする,to stroll
決る,きまる,to be decided
,アルコール,alcohol
鼻,はな,nose
空,そら,sky
,ギター,guitar
引っ越す,ひっこす,to move house
神社,じんじゃ,Shinto shrine
,テープレコーダー,tape recorder
,けんか・する,to quarrel
前,まえ,before
勝つ,かつ,to win
動く,うごく,to move
公務員,こうむいん,"civil servant, government worker"
仕方,しかた,method
御主人,ごしゅじん,(honorable) your husband
,アジア,Asia
空く,あく,"to open, to become empty"
,それ,that
暇,ひま,free time
研究,けんきゅう,research
通る,とおる,to go through
何,なん/なに,what
倍,ばい,double
字引,じびき,dictionary
