kanji,hiragana,english
呼ぶ,よぶ,"to call out,to invite"
早い,はやい,early
沸く,わく,"to boil, to grow hot,to get excited"
客,きゃく,"guest,customer"
堅/硬/固い,かたい,hard
汚れる,よごれる,to get dirty
広い,ひろい,"spacious,wide"
社長,しゃちょう,company president
,たて,"length,height"
屋上,おくじょう,rooftop
,あっち,over there
結構,けっこう,"splendid,enough"
六日,むいか,"six days, sixth day of the month"
,チェック・する,to check
消す,けす,"to erase,to turn off power"
,はず,it should be so
,もっと,more
,パソコン,personal computer
押し入れ,おしいれ,closet
勉強,べんきょうする,to study
黒,くろ,black
吹く,ふく,to blow
後ろ,うしろ,behind
引く,ひく,to pull
大きい,おおきい,big
友達,ともだち,friend
覚える,おぼえる,to remember
為,ため,in order to
牛肉,ぎゅうにく,beef
経済,けいざい,"finance,economy"
大勢,おおぜい,great number of people
