kanji,hiragana,english,kanji_required
怖い,こわい,frightening,
西洋,せいよう,western countries,
先輩,せんぱい,senior,
泳ぎ方,およぎかた,way of swimming,
,ひきだす,to withdraw,
,ハンカチ,handkerchief,
狭い,せまい,narrow,
何,なん/なに,what,x
,コンピューター,computer,
明日,あす・あした,tomorrow,x
線,せん,line,
ご存じ,ごぞんじ,(respect form ) to know,
本棚,ほんだな,bookshelves,x
足りる,たりる,to be enough,
少し,すこし,few,x
,プール,swimming pool,
赤,あか,red,x
柔道,じゅうどう,judo,
,いくら,how much?,
今週,こんしゅう,this week,x
揺れる,ゆれる,"to shake,to sway",
回る,まわる,to go around,
留学生,りゅうがくせい,overseas student,
,レポート/リポート,report,
伝える,つたえる,to report,
