kanji,hiragana,english
焼く,やく,"to bake,to grill"
,こう,this way
,どんどん,more and more
口,くち,"mouth,opening"
始める,はじめる,to begin
交差点,こうさてん,intersection
黄色い,きいろい,yellow
南,みなみ,south
同じ,おなじ,same
入る,はいる,"to enter,to contain"
,スーツ,suit
両方,りょうほう,both sides
,カーテン,curtain
咲く,さく,to bloom
今晩,こんばん,this evening
絹,きぬ,silk
絵,え,picture
科学,かがく,science
,ちょっと,somewhat
打つ,うつ,to hit
向こう,むこう,over there
泣く,なく,to weep
見つかる,みつかる,to be discovered
晴れ,はれ,clear weather
,キロ/キログラム,kilogram
吸う,すう,"to smoke,to suck"
塩,しお,salt
,さっき,some time ago
反対,はんたい,opposition
洋服,ようふく,western-style clothes
,このごろ,"these days,nowadays"
