kanji,hiragana,english,kanji_required
八百屋,やおや,greengrocer,x
味,あじ,flavour,x
,ジャム,jam,
,それから,after that,
将来,しょうらい,"future,prospects",
自動車,じどうしゃ,automobile,x
初め/始め,はじめ,beginning,x
簡単,かんたん,simple,
九,きゅう / く,nine,x
親,おや,parents,x
,カレー,curry,
要る,いる,to need,x
汚い,きたない,dirty,
伯父/叔父,おじさん,"uncle,middle aged gentleman",x
予定,よてい,arrangement,
落す,おとす,to drop,
一緒,いっしょ,together,
地理,ちり,geography,
日曜日,にちようび,Sunday,x
,しっかり,"firmly,steadily",
丈夫,じょうぶ,"strong,durable",
寝る,ねる,"to go to bed,to sleep",
郊外,こうがい,outskirts,
残念,ざんねん,disappointment,
お金,おかね,money,x
