kanji,hiragana,english,kanji_required
私,わたし,"I,myself",x
兄弟,きょうだい,(humble) siblings,x
滑る,すべる,"to slide,to slip",
消しゴム,けしゴム,eraser,
例えば,たとえば,for example,
鳴る,なる,to sound,
締める,しめる,to tie,
勤める,つとめる,to work for someone,
今朝,けさ,this morning,x
冬,ふゆ,winter,x
小説,しょうせつ,novel,
,あまり,not very,
,ナイフ,knife,
,サンダル,sandal,
,よく,"often, well",
傘,かさ,umbrella,
,なぜ,why,
過ぎる,すぎる,to exceed,
厚い,あつい,"kind, deep, thick",
,ちっとも,not at all (used with a negative verb),
,なる,to become,
,できる,to be able to,
半分,はんぶん,half minute,x
言葉,ことば,"word,language",x
海,うみ,sea,x
