kanji,hiragana,english,kanji_required
見せる,みせる,to show,x
遠慮,えんりょ・する,"to be reserved, to be restrained",
両方,りょうほう,both sides,
漬ける,つける,"to soak,to pickle",
習慣,しゅうかん,"custom,manners",
見つかる,みつかる,to be discovered,
地震,じしん,earthquake,
食料品,しょくりょうひん,groceries,
お皿,おさら,"plate, dish",x
競争,きょうそう,competition,
,すると,then,
泳ぐ,およぐ,to swim,
打つ,うつ,to hit,x
後,あと,afterwards,x
待つ,まつ,to wait,x
,たいへん,difficult situation,
移る,うつる,to move house or transfer,
数学,すうがく,"mathematics,arithmetic",
亡くなる,なくなる,to die,
,じゃ/じゃあ,well then…,
,くれる,to give,
祖母,そぼ,grandmother,
返事,へんじ,reply,
,カレンダー,calendar,
大学,だいがく,university,x
