kanji,hiragana,english
帰り,かえり,return
,テキスト,"text,text book"
公園,こうえん,park
涼しい,すずしい,refreshing
洗う,あらう,to wash
明日,あした,tomorrow
外国人,がいこくじん,foreigner
,あまり,not very
回る,まわる,to go around
新聞社,しんぶんしゃ,newspaper company
困る,こまる,to be worried
細かい,こまかい,"small, fine"
文学,ぶんがく,literature
雲,くも,cloud
女の子,おんなのこ,girl
来年,らいねん,next year
今年,ことし,this year
折る,おる,to break or to fold
男,おとこ,man
召し上がる,めしあがる,(polite) to eat
違う,ちがう,to differ
お姉さん,おねえさん,(honorable) older sister
,タクシー,taxi
窓,まど,window
一生懸命,いっしょうけんめい,with utmost effort
大切,たいせつ,important
十日,とおか,"ten days,the tenth day"
新聞,しんぶん,newspaper
全部,ぜんぶ,all
変える,かえる,to change
,きっと,surely
