kanji,hiragana,english,kanji_required
花瓶,かびん,a vase,x
英語,えいご,English language,x
入れる,いれる,to put in,x
二十歳,はたち,"20 years old,20th year",x
光る,ひかる,"to shine,to glitter",
子,こ,child,
,このごろ,"these days,nowadays",
青い,あおい,blue,x
行く,いく,to go,x
,ワイシャツ,business shirt,
分かる,わかる,to be understood,x
怒る,おこる,"to get angry, to be angry",
訪ねる,たずねる,to visit,
南,みなみ,south,x
研究室,けんきゅうしつ,"study room,laboratory",
,ちょっと,somewhat,
,うん,(informal) yes,
,ほか,"other, the rest",
迎える,むかえる,to go out to meet,
男の子,おとこのこ,boy,x
細い,ほそい,thin,
働く,はたらく,to work,x
遠い,とおい,far,x
,たまに,occasionally,
盛ん,さかん,"popularity,prosperous",
