kanji,hiragana,english,kanji_required
映画,えいが,movie,x
届ける,とどける,"to send, to deliver, to report",
目,め,eye,x
,こう,this way,
布団,ふとん,"Japanese bedding, futon",
故障,こしょう・する,to break-down,
優しい,やさしい,kind,
病気,びょうき,illness,x
川/河,かわ,river,x
一,いち,one,x
交差点,こうさてん,intersection,
今月,こんげつ,this month,x
済む,すむ,to finish,
,あちら,there,
小鳥,ことり,small bird,
苦い,にがい,bitter,
来る,くる,to come,x
用意,ようい,preparation,
壁,かべ,wall,
課長,かちょう,section manager,
裏,うら,reverse side,
拝見,はいけん・する,(humble) to look at,
,キロ/キロメートル,kilometre,
並ぶ,ならぶ,"to line up,to stand in a line",x
,しかし,however,
