kanji,hiragana,english,kanji_required
,なるほど,now I understand,
興味,きょうみ,an interest,
,ペン,pen,
洗う,あらう,to wash,x
昼休み,ひるやすみ,noon break,
十分,じゅうぶん,enough,
客,きゃく,"guest,customer",
明日,あした,tomorrow,x
向かう,むかう,to face,
翻訳,ほんやく,translation,
上る,あがる,to rise,x
入院,にゅういん・する,"to hospitalise, hospitalisation",
,そんな,that sort of,
会場,かいじょう,assembly hall or meeting place,
降る,ふる,"to fall, e.g. rain or snow",x
,ページ,page,
壊れる,こわれる,to be broken,
焼ける,やける,"to burn,to be roasted",
場合,ばあい,situation,
,ドア,Western style door,
辺,へん,area,
春,はる,spring,x
入口,いりぐち,entrance,x
お土産,おみやげ,souvenir,
声,こえ,voice,x
