kanji,hiragana,english
,いい/よい,good
食べる,たべる,to eat
取り替える,とりかえる,to exchange
英語,えいご,English language
似る,にる,to be similar
止める,やめる,to stop
お宅,おたく,(polite) your house
開く,あく,"to open,to become open"
手,て,hand
一人,ひとり,one person
隣,となり,next door to
秋,あき,autumn
,ねだん,price
駐車場,ちゅうしゃじょう,parking lot
皆,みな,everybody
急行,きゅうこう,"speedy, express"
訳,わけ,"meaning,reason"
切手,きって,postage stamp
,おかしい,strange or funny
表,おもて,the front
文法,ぶんぽう,grammar
古い,ふるい,old (not used for people)
,パーティー,party
飴,あめ,candy
遠く,とおく,distant
二つ,ふたつ,two
赤ん坊,あかんぼう,baby
貿易,ぼうえき,trade
特別,とくべつ,special
社会,しゃかい,"society,public"
季節,きせつ,season
